PTS,FG%,3P%,FT%,REB,AST,TOV,STL,BLK
26,38.5,18.2,50.0,4,3,2,1,1
26,60.0,0.0,77.8,15,3,3,1,2
25,26.7,10.0,88.9,32,9,11,5,0
25,33.3,30.4,50.0,7,4,2,0,0
24,45.5,33.3,0.0,18,4,7,0,0
24,25.8,16.7,83.3,18,6,3,3,0
24,31.8,28.6,85.7,7,1,0,2,0
24,40.0,18.2,100,20,7,7,0,2
22,36.4,21.4,50.0,12,6,2,4,3
19,36.8,37.5,100,23,8,2,9,1
19,75.0,0.0,25.0,37,1,3,3,7
16,41.7,20.0,62.5,6,4,1,0,0
16,45.5,50.0,44.4,8,0,4,1,1
16,35.0,0.0,28.6,14,5,2,2,4
16,54.5,50.0,0.0,6,4,0,3,4
16,53.8,0.0,66.7,9,4,3,2,3
15,43.8,0.0,33.3,14,4,0,1,2
15,37.5,22.2,50.0,23,7,3,4,4
14,50.0,50.0,100,5,0,0,0,0
14,38.5,40.0,66.7,5,9,1,4,0
14,22.2,16.7,80.0,17,1,6,4,0
14,62.5,50.0,75.0,6,0,2,3,2
14,80.0,50.0,100,2,1,2,0,0
13,50.0,33.3,0.0,5,3,2,1,0
13,40.0,37.5,100,7,6,3,2,0
13,40.0,57.1,50.0,2,0,1,2,1
12,38.5,33.3,0.0,9,0,0,0,1
12,23.8,16.7,0.0,12,4,3,3,1
12,26.3,22.2,0.0,5,0,0,2,1
11,25.0,33.3,66.7,6,3,2,6,2
11,35.7,0.0,50.0,11,0,1,1,1
11,36.4,33.3,50.0,3,8,4,1,0
10,44.4,28.6,0.0,2,0,2,1,0
10,26.7,28.6,0.0,10,1,2,1,1
10,100,0.0,100,2,0,1,1,0
10,36.4,25.0,0.0,5,1,2,2,1
9,100,0.0,75.0,15,1,2,2,4
9,28.6,0.0,83.3,3,2,1,1,0
9,30.8,0.0,50.0,12,3,2,0,1
8,30.0,33.3,0.0,2,2,2,1,1
8,33.3,50.0,0.0,5,0,0,1,3
8,15.0,15.4,0.0,23,12,1,4,2
8,50.0,0.0,100,2,3,1,0,0
7,60.0,100,0.0,0,2,0,0,0
7,40.0,50.0,50.0,7,2,0,0,0
7,42.9,25.0,0.0,5,3,2,0,0
7,13.3,15.4,50.0,12,3,3,1,3
7,50.0,0.0,100,3,0,1,1,0
6,50.0,0.0,0.0,7,3,1,0,1
6,50.0,66.7,0.0,1,1,2,0,0
6,50.0,0.0,0.0,6,1,0,0,1
5,50.0,33.3,0.0,1,0,0,0,0
5,50.0,0.0,50.0,4,1,3,0,0
5,33.3,100,0.0,9,4,1,1,2
5,28.6,16.7,0.0,5,5,1,0,0
5,40.0,0.0,20.0,5,0,1,0,2
4,66.7,0.0,0.0,2,1,3,0,1
4,50.0,0.0,100,5,1,3,0,0
4,100,0.0,0.0,1,2,1,0,0
4,33.3,0.0,0.0,4,3,2,1,1
4,25.0,0.0,0.0,1,4,3,0,0
3,16.7,50.0,0.0,4,0,0,1,1
3,100,100,0.0,0,0,1,0,0
3,100,100,0.0,0,0,0,0,0
3,0.0,0.0,75.0,2,0,1,0,0
3,100,100,0.0,0,0,1,0,0
3,33.3,33.3,0.0,2,0,0,1,0
3,100,100,0.0,1,2,0,0,0
3,33.3,100,0.0,3,0,0,0,0
2,0.0,0.0,100,0,2,1,0,0
2,14.3,0.0,0.0,2,0,1,0,0
2,100,0.0,0.0,2,1,0,0,0
2,0.0,0.0,100,1,0,1,0,0
2,0.0,0.0,100,0,0,1,0,0
2,100,0.0,0.0,4,0,1,0,0
2,0.0,0.0,100,3,0,1,0,0
1,0.0,0.0,50.0,0,1,0,1,0
0,0.0,0.0,0.0,0,0,0,0,0
0,0.0,0.0,0.0,0,0,0,0,0
0,0.0,0.0,0.0,1,0,2,0,0
0,0.0,0.0,0.0,0,1,0,0,0
0,0.0,0.0,0.0,0,0,0,0,0
0,0.0,0.0,0.0,0,0,0,0,0
0,0.0,0.0,0.0,2,1,0,0,0
0,0.0,0.0,0.0,0,0,0,0,0
0,0.0,0.0,0.0,0,0,1,1,1
0,0.0,0.0,0.0,0,2,0,0,0
0,0.0,0.0,0.0,0,0,0,0,0
0,0.0,0.0,0.0,2,1,0,1,0
0,0.0,0.0,0.0,2,3,0,0,0
0,0.0,0.0,0.0,3,0,0,0,0
0,0.0,0.0,0.0,5,1,0,0,1
0,0.0,0.0,0.0,0,0,0,0,0
0,0.0,0.0,0.0,0,0,0,0,0
0,0.0,0.0,0.0,0,0,0,0,0
